Country,Year,Transparency of government policy-making.
Albania,2007,2.9154682110000003
Albania,2008,3.150972168
Albania,2009,3.8478776089999998
Albania,2010,4.560831405
Albania,2011,4.661059437
Albania,2012,4.324629109
Albania,2013,4.1166903
Albania,2015,3.997792309
Algeria,2006,4.2352941180000006
Algeria,2007,3.76954495
Algeria,2008,3.3732468410000003
Algeria,2009,3.146941719
Algeria,2010,3.639679802
Algeria,2011,3.1446565910000004
Algeria,2012,2.581505108
Algeria,2013,3.436813557
Algeria,2015,3.6081269110000003
Angola,2010,3.5151209999999997
Angola,2011,3.5331574089999997
Angola,2013,2.857143
Angola,2015,2.928460217
Argentina,2006,2.8529411760000003
Argentina,2007,2.775971258
Argentina,2008,2.565806304
Argentina,2009,3.190797142
Argentina,2010,3.4536527610000003
Argentina,2011,3.2933613160000004
Argentina,2012,3.2055963239999996
Argentina,2013,3.0063747860000003
Argentina,2015,2.953001864
Armenia,2006,3.576923077
Armenia,2007,3.484575378
Armenia,2008,3.561958865
Armenia,2009,4.19427344
Armenia,2010,4.5352128
Armenia,2011,4.810854312
Armenia,2012,5.2138370510000005
Armenia,2013,4.962180718
Armenia,2015,4.457739552
Australia,2006,5.459770115
Australia,2007,5.2971880360000005
Australia,2008,5.3529628780000005
Australia,2009,5.2865458830000005
Australia,2010,5.196481039
Australia,2011,5.0239801
Australia,2012,4.927869629
Australia,2013,4.373495448
Australia,2015,4.257904967
Austria,2006,5.074766355
Austria,2007,5.2307569460000005
Austria,2008,4.959832494
Austria,2009,5.0494596
Austria,2010,5.277373863
Austria,2011,5.031830161999999
Austria,2012,5.107843441
Austria,2013,5.047122443
Austria,2015,4.773008813
Azerbaijan,2006,3.421052632
Azerbaijan,2007,3.57913257
Azerbaijan,2008,3.860883398
Azerbaijan,2009,4.43415625
Azerbaijan,2010,4.454117332
Azerbaijan,2011,4.278847995
Azerbaijan,2012,4.510520008
Azerbaijan,2013,4.495007875
Azerbaijan,2015,4.267225277
Bahrain,2006,4.447368421
Bahrain,2007,4.774562047
Bahrain,2008,4.834124247
Bahrain,2009,4.1557167580000005
Bahrain,2010,4.673527926
Bahrain,2011,5.546046195
Bahrain,2012,5.37490651
Bahrain,2013,4.976646764
Bahrain,2015,4.661918123
Bangladesh,2006,3.361904762
Bangladesh,2007,3.5294862160000005
Bangladesh,2008,3.4897426830000002
Bangladesh,2009,3.494432682
Bangladesh,2010,3.8417016000000004
Bangladesh,2011,3.949767647
Bangladesh,2012,3.8990628519999997
Bangladesh,2013,3.8639068080000003
Bangladesh,2015,3.5399701930000003
Barbados,2006,5.052631579
Barbados,2007,5.144044102
Barbados,2008,5.315836528
Barbados,2009,5.266152678
Barbados,2010,5.16910487
Barbados,2011,5.4484689820000005
Barbados,2012,5.151393531
Barbados,2013,4.723331302
Barbados,2015,4.461325018
Belgium,2006,4.1621621619999996
Belgium,2007,4.305337692
Belgium,2008,4.211976766
Belgium,2009,4.215630025
Belgium,2010,4.347198597
Belgium,2011,4.3667562360000005
Belgium,2012,4.363617983
Belgium,2013,4.279391624
Belgium,2015,4.145470197
Belize,2011,3.55954
Benin,2006,3.868965517
Benin,2007,3.8625246310000003
Benin,2008,3.9783747160000003
Benin,2009,4.226189947
Benin,2010,4.641725903999999
Benin,2011,4.366400789
Benin,2012,3.816447777
Benin,2013,3.5835793469999997
Bhutan,2013,3.729686
Bhutan,2015,3.8959838560000004
Bolivia,2006,2.829545455
Bolivia,2007,2.968857868
Bolivia,2008,2.378248908
Bolivia,2009,2.643491752
Bolivia,2010,3.4050029360000003
Bolivia,2011,3.4560859930000003
Bolivia,2012,3.529047662
Bolivia,2013,3.484818362
Bolivia,2015,3.616470089
Bosnia and Herzegovina,2006,3.083333333
Bosnia and Herzegovina,2007,3.143021221
Bosnia and Herzegovina,2008,2.948715516
Bosnia and Herzegovina,2009,2.40193541
Bosnia and Herzegovina,2010,2.7369297219999997
Bosnia and Herzegovina,2011,3.235821
Bosnia and Herzegovina,2012,3.76659025
Bosnia and Herzegovina,2013,4.200856
Botswana,2006,4.46969697
Botswana,2007,4.509280196000001
Botswana,2008,4.608701526
Botswana,2009,4.661869787
Botswana,2010,5.039501412
Botswana,2011,5.065574505
Botswana,2012,4.6907445580000005
Botswana,2013,4.48880869
Botswana,2015,4.259275291
Brazil,2006,3.3717277489999997
Brazil,2007,3.30103163
Brazil,2008,3.582244782
Brazil,2009,3.807594211
Brazil,2010,4.089900103
Brazil,2011,4.146339712
Brazil,2012,4.007519472
Brazil,2013,3.6786785369999997
Brazil,2015,3.230414437
Brunei,2008,4.685985
Brunei,2009,4.526381705
Brunei,2010,4.082140852
Brunei,2011,4.122107951
Brunei,2012,4.239939259
Brunei,2013,4.3825654819999995
Bulgaria,2006,3.010752688
Bulgaria,2007,3.266661333
Bulgaria,2008,3.366658218
Bulgaria,2009,3.448822725
Bulgaria,2010,3.4530104930000003
Bulgaria,2011,3.3589052610000003
Bulgaria,2012,3.56997912
Bulgaria,2013,3.557104603
Bulgaria,2015,3.263019452
Burkina Faso,2006,4.680851064
Burkina Faso,2007,4.561535303
Burkina Faso,2008,4.738836054
Burkina Faso,2009,4.771727348
Burkina Faso,2010,4.09757905
Burkina Faso,2011,4.141759513999999
Burkina Faso,2012,4.369005906
Burkina Faso,2013,3.673767313
Burkina Faso,2015,3.299014951
Burma (Myanmar),2013,2.893025
Burma (Myanmar),2015,2.93273301
Burundi,2006,3.604938272
Burundi,2007,3.845556347
Burundi,2008,3.409954685
Burundi,2009,2.881143053
Burundi,2010,3.255810795
Burundi,2011,3.323264557
Burundi,2012,3.328500735
Burundi,2013,3.286978422
Burundi,2015,3.151353405
Cambodia,2006,3.956989247
Cambodia,2007,4.142693713
Cambodia,2008,3.9745242469999997
Cambodia,2009,3.656940845
Cambodia,2010,3.5657275910000004
Cambodia,2011,3.793658425
Cambodia,2012,3.980324946
Cambodia,2013,3.62814475
Cambodia,2015,3.180478023
Cameroon,2006,4.0
Cameroon,2007,3.823564593
Cameroon,2008,4.239512241
Cameroon,2009,4.047567557
Cameroon,2010,3.661516018
Cameroon,2011,3.8774686610000004
Cameroon,2012,4.246642945
Cameroon,2013,4.335135587
Cameroon,2015,4.03620265
Canada,2006,4.784946237
Canada,2007,5.020797163
Canada,2008,5.198929882
Canada,2009,5.310455161
Canada,2010,5.5310950210000005
Canada,2011,5.461157145
Canada,2012,5.378325974
Canada,2013,5.116857043
Canada,2015,5.0522982160000005
Cape Verde,2010,4.556911
Cape Verde,2011,4.514298954
Cape Verde,2012,4.386353897
Cape Verde,2013,4.161552838
Cape Verde,2015,4.0850169460000005
Chad,2006,2.8842105260000004
Chad,2007,3.1874817639999997
Chad,2008,3.3079169189999997
Chad,2009,3.049448335
Chad,2010,2.8486978360000004
Chad,2011,3.10444799
Chad,2012,3.1351924839999996
Chad,2013,2.753509541
Chad,2015,2.8446097519999998
Chile,2006,5.040540541
Chile,2007,5.135814459
Chile,2008,4.911530515
Chile,2009,5.182038052
Chile,2010,5.553320226
Chile,2011,5.331977736
Chile,2012,5.275254555
Chile,2013,5.118338088
Chile,2015,5.018686483
China,2006,3.48973607
China,2007,3.811771142
China,2008,4.487685765
China,2009,4.817438118
China,2010,4.758954893
China,2011,4.7295913160000005
China,2012,4.483100218
China,2013,4.41809319
China,2015,4.491225462
Colombia,2006,4.391304348
Colombia,2007,4.275214275
Colombia,2008,4.3481452769999995
Colombia,2009,4.379527935
Colombia,2010,4.394976602
Colombia,2011,4.303613002
Colombia,2012,4.136172622
Colombia,2013,4.081569924
Colombia,2015,3.83093085
Costa Rica,2006,3.626865672
Costa Rica,2007,3.834028088
Costa Rica,2008,4.2853444419999995
Costa Rica,2009,4.471131126
Costa Rica,2010,4.50669655
Costa Rica,2011,4.4721760260000005
Costa Rica,2012,4.474077189
Costa Rica,2013,4.4007749369999996
Costa Rica,2015,4.258133606
Croatia,2006,3.6555555560000004
Croatia,2007,3.8678876680000003
Croatia,2008,3.807395019
Croatia,2009,3.942027467
Croatia,2010,4.272037521000001
Croatia,2011,4.2079858
Croatia,2012,3.993174008
Croatia,2013,3.7431236180000003
Croatia,2015,3.333545343
Cyprus,2006,4.43902439
Cyprus,2007,4.424476164
Cyprus,2008,4.762120807
Cyprus,2009,5.025991426
Cyprus,2010,4.897031411
Cyprus,2011,4.96531092
Cyprus,2012,4.895912292
Cyprus,2013,4.762789139
Cyprus,2015,4.6881982010000005
Czech Republic,2006,3.988505747
Czech Republic,2007,3.650890405
Czech Republic,2008,3.5581099710000004
Czech Republic,2009,3.67515412
Czech Republic,2010,3.895595943
Czech Republic,2011,3.970493135
Czech Republic,2012,3.958356007
Czech Republic,2013,3.8146026969999998
Czech Republic,2015,3.667572983
Denmark,2006,6.0882352939999995
Denmark,2007,5.931851493
Denmark,2008,5.816544127999999
Denmark,2009,5.800043659
Denmark,2010,5.627347717
Denmark,2011,5.70008361
Denmark,2012,4.665023921
Denmark,2013,4.342791131999999
Denmark,2015,4.491350012
Dominican Republic,2006,3.52173913
Dominican Republic,2007,3.751819738
Dominican Republic,2008,3.896542648
Dominican Republic,2009,4.0148951
Dominican Republic,2010,4.375761468
Dominican Republic,2011,4.452314003
Dominican Republic,2012,4.304833724
Dominican Republic,2013,4.155934124
Dominican Republic,2015,4.169296732
Ecuador,2006,2.643678161
Ecuador,2007,2.738238017
Ecuador,2008,2.927576783
Ecuador,2009,3.357978468
Ecuador,2010,3.726434287
Ecuador,2011,3.9052680889999998
Ecuador,2012,3.9687930000000002
Ecuador,2013,4.101889967
Egypt,2006,3.357142857
Egypt,2007,3.7460342730000002
Egypt,2008,4.091978258999999
Egypt,2009,4.279226895
Egypt,2010,4.2935612999999995
Egypt,2011,3.781846391
Egypt,2012,3.760850865
Egypt,2013,3.909480537
Egypt,2015,3.943265851
El Salvador,2006,4.365384615
El Salvador,2007,4.343578759
El Salvador,2008,4.055528966000001
El Salvador,2009,4.342739765
El Salvador,2010,4.249833421
El Salvador,2011,3.7880707289999997
El Salvador,2012,3.631038063
El Salvador,2013,3.405067223
El Salvador,2015,3.720575775
Estonia,2006,4.841121495
Estonia,2007,4.885426519
Estonia,2008,4.911366903
Estonia,2009,5.193820273
Estonia,2010,5.363008486
Estonia,2011,5.253682733
Estonia,2012,5.120853665
Estonia,2013,5.021570367
Estonia,2015,4.9706409030000005
Ethiopia,2006,3.4819277110000004
Ethiopia,2007,3.726571547
Ethiopia,2008,3.768583477
Ethiopia,2009,3.8017124489999996
Ethiopia,2010,3.947218111
Ethiopia,2011,3.634957894
Ethiopia,2012,3.5399325630000003
Ethiopia,2013,3.488514359
Ethiopia,2015,3.251276463
Finland,2006,5.960784314
Finland,2007,5.828982749
Finland,2008,5.739889924
Finland,2009,5.641161843
Finland,2010,5.638571765
Finland,2011,5.787439028
Finland,2012,6.130991312999999
Finland,2013,6.070317867999999
Finland,2015,5.822778887
France,2006,4.809160305
France,2007,4.932184219
France,2008,4.758419847
France,2009,4.721705173
France,2010,4.941000900000001
France,2011,4.850330797
France,2012,4.615806424
France,2013,4.253207617
France,2015,3.951313761
Gabon,2012,4.727195
Gabon,2013,4.150142895
Gabon,2015,3.7272986880000003
Gambia,2006,4.388059701
